Fold,Accuracy,Model
Fold-1,0.8333333333333334,Logistic Regression
Fold-2,0.9166666666666666,Logistic Regression
Fold-3,0.8333333333333334,Logistic Regression
Fold-4,0.9583333333333334,Logistic Regression
Fold-5,0.875,Logistic Regression
Fold-1,0.875,SVC
Fold-2,0.9583333333333334,SVC
Fold-3,0.7916666666666666,SVC
Fold-4,0.9166666666666666,SVC
Fold-5,0.9166666666666666,SVC
Fold-1,0.7916666666666666,KNN
Fold-2,0.9166666666666666,KNN
Fold-3,0.625,KNN
Fold-4,0.7916666666666666,KNN
Fold-5,0.7083333333333334,KNN
Fold-1,0.7916666666666666,Naive Bayes
Fold-2,0.625,Naive Bayes
Fold-3,0.5833333333333334,Naive Bayes
Fold-4,0.625,Naive Bayes
Fold-5,0.875,Naive Bayes
Fold-1,0.7916666666666666,Perceptron
Fold-2,0.9583333333333334,Perceptron
Fold-3,0.8333333333333334,Perceptron
Fold-4,0.9583333333333334,Perceptron
Fold-5,0.875,Perceptron
Fold-1,0.8333333333333334,Linear SVC
Fold-2,0.9583333333333334,Linear SVC
Fold-3,0.8333333333333334,Linear SVC
Fold-4,0.8333333333333334,Linear SVC
Fold-5,0.875,Linear SVC
Fold-1,0.7916666666666666,Decision Tree
Fold-2,0.75,Decision Tree
Fold-3,0.8333333333333334,Decision Tree
Fold-4,0.75,Decision Tree
Fold-5,0.7916666666666666,Decision Tree
Fold-1,0.9166666666666666,Random Forest
Fold-2,0.9583333333333334,Random Forest
Fold-3,0.6666666666666666,Random Forest
Fold-4,0.9166666666666666,Random Forest
Fold-5,0.9166666666666666,Random Forest
